mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23297929763793945,0.04169471684437651,0.004197216033935547,0.00040491852494416994,1.0,,l2,saga,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.5041551246537396,0.4837144837144837,0.49203049203049204,0.4733194733194733,0.498960498960499,0.49043601453573754,0.010968848028925202,1
0.13617277145385742,0.011346173718067626,0.004596424102783203,0.0008009557163232197,1.0,,l2,liblinear,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.4903047091412742,0.48717948717948717,0.4934164934164934,0.46361746361746364,0.4857934857934858,0.48406232782964087,0.01055626639706074,2
0.49802117347717284,0.05288584311807194,0.004803133010864258,0.000750235215668586,10.0,,l2,saga,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.48822714681440443,0.4753984753984754,0.4885654885654886,0.45807345807345806,0.4968814968814969,0.48142921314666465,0.01354822862556661,3
0.23717026710510253,0.009944313830263476,0.005997943878173828,0.0006323388489032711,10.0,,l2,liblinear,"{'C': 10, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.48614958448753465,0.4677754677754678,0.4851004851004851,0.46015246015246014,0.49965349965349964,0.4797662994338895,0.014093852082344377,4
0.1388869285583496,0.005962505532801611,0.005753946304321289,0.0021423002760699588,1.0,balanced,l2,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.49653739612188363,0.47401247401247404,0.4864864864864865,0.45252945252945254,0.48440748440748443,0.47879465871155624,0.014954618710675618,5
0.10118727684020996,0.0184719108168653,0.0039978504180908205,0.0010963316749485878,0.1,balanced,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.4826869806094183,0.4760914760914761,0.49133749133749133,0.4546084546084546,0.47886347886347885,0.4767175763020638,0.01219168458226662,6
0.2337423801422119,0.024201078094092,0.005004119873046875,0.0012702865500120184,10.0,balanced,l2,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.48476454293628807,0.4663894663894664,0.4753984753984754,0.46292446292446293,0.49133749133749133,0.47616288779723687,0.01072955776513082,7
0.2703911304473877,0.0378629416902678,0.006003808975219726,0.002095783703898184,1.0,balanced,l2,saga,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.4909972299168975,0.4670824670824671,0.48232848232848236,0.4553014553014553,0.4851004851004851,0.47616202394595747,0.013081332577409429,8
0.49579801559448244,0.055733718529856806,0.003799104690551758,0.000398841222087246,10.0,balanced,l2,saga,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.4826869806094183,0.4698544698544699,0.47193347193347196,0.46292446292446293,0.49203049203049204,0.47588597547046296,0.010265488176827719,9
0.20969910621643068,0.017556630300987735,0.007800006866455078,0.0029232771108969155,0.1,,l2,saga,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.4445983379501385,0.4566874566874567,0.4553014553014553,0.4442134442134442,0.4386694386694387,0.44789402656438665,0.006952635263550661,10
0.09579863548278808,0.008496226273760208,0.00459904670715332,0.0007954036207833273,0.1,,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.4404432132963989,0.4518364518364518,0.44767844767844767,0.43104643104643103,0.4275814275814276,0.4397171942878314,0.009308534056669423,11
0.2119589328765869,0.03521250914917703,0.005997753143310547,0.0017915573551482583,0.1,balanced,l2,saga,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.43836565096952906,0.41995841995842,0.4407484407484408,0.42203742203742206,0.4539154539154539,0.43500507752585316,0.012620966706172014,12
0.06554012298583985,0.006268686999914581,0.005200099945068359,0.0014674628131430172,0.01,balanced,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}",0.4231301939058172,0.4435204435204435,0.4338184338184338,0.4261954261954262,0.39778239778239777,0.42488937904450363,0.01527372585402292,13
0.20125188827514648,0.024013877702739425,0.004107618331909179,0.0004784622538189155,0.01,balanced,l2,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.4092797783933518,0.386001386001386,0.40055440055440056,0.3943173943173943,0.4144144144144144,0.40091347473618943,0.010181139530256997,14
0.24431333541870118,0.01454237598019778,0.005196714401245117,0.0007526926666383783,0.01,,l2,saga,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.38850415512465375,0.41372141372141374,0.39293139293139295,0.39778239778239777,0.38115038115038113,0.39481794814204785,0.01092112112268226,15
0.07304553985595703,0.005035451301313727,0.008404731750488281,0.005881327209906852,0.01,,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.37465373961218834,0.39223839223839224,0.3839223839223839,0.3936243936243936,0.37144837144837145,0.38317745616914595,0.008966818324610219,16
